AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
8;JetpackSegment_23;1.343988;40.86718;0.8319242;0.6189969;0;0;TargetAnchor1
8;JetpackSegment_24;2.2475;83.66524;1.865604;0.8300799;0;1;TargetAnchor2
9;JetpackSegment_25;1.357274;52.28814;1.020935;0.7521952;0;0;TargetAnchor1
9;JetpackSegment_26;1.884214;56.06268;1.373829;0.7291257;0;0;TargetAnchor2
9;JetpackSegment_27;1.190298;17.40217;0.100281;0.08424868;0;0;TargetAnchor3
9;JetpackSegment_28;1.969426;24.0262;0.7084936;0.3597462;0;0;TargetAnchor4
9;JetpackSegment_29;1.940055;39.51477;1.32763;0.684326;0;0;TargetAnchor5
9;JetpackSegment_30;1.978175;46.03128;1.473798;0.7450294;0;0;TargetAnchor6
9;JetpackSegment_31;1.873399;31.123;0.4476418;0.2389464;0;0;TargetAnchor7
9;JetpackSegment_32;1.484444;60.07986;1.171052;0.7888829;0;0;TargetAnchor8
