AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;20.55788;1.270002;1;2.234433;7.753513;0.3495849;1.609169;15.5619;9.022319;0;TargetAnchor1
1;24.94207;2.166069;1;3.076468;11.08337;0.3303513;2.676752;24.42661;8.427793;0;TargetAnchor2
1;29.51887;1.134861;1;2.409759;9.76503;0.1957475;1.069353;12.09195;3.433419;0;TargetAnchor3
1;33.86854;2.118969;1;2.548265;11.08974;0.2596146;1.936902;22.28922;4.896358;0;TargetAnchor4
1;39.96005;1.618462;1;2.50371;9.002317;0.2290147;0.3577405;16.68711;3.467829;0;TargetAnchor5
1;43.6198;1.747299;1;2.938174;11.75907;0.1866474;3.041893;17.99024;4.513984;0;TargetAnchor6
1;49.91998;1.78904;1;1.74131;6.276016;0.4156387;1.702042;22.19638;12.46675;0;TargetAnchor7
2;65.62882;2.303665;0.9497139;2.863142;11.94296;0.492174;1.111541;25.17214;21.17235;0;TargetAnchor1
2;70.82497;1.185806;1;3.023775;11.24753;0.1006951;2.074692;11.56008;0.9237757;0;TargetAnchor2
2;74.53946;1.154564;1;2.943075;11.9045;0.1562363;1.086945;11.86674;2.847824;0;TargetAnchor3
2;78.69672;1.653366;1;2.821248;9.447161;0.2340293;1.651187;17.02216;3.959082;0;TargetAnchor4
2;82.83257;1.697479;1;3.458132;11.90108;0.2296964;1.815027;17.72495;4.724255;0;TargetAnchor5
2;87.58074;1.907173;1;2.966097;12.34193;0.186558;1.755528;19.46648;3.719589;0;TargetAnchor6
2;92.35943;1.559151;1;2.465303;10.09362;0.2713575;2.958618;17.34131;6.554982;0;TargetAnchor7
2;101.1815;1.829033;0;3.354807;8.539768;0.529202;41.17126;18.46373;3.549384;0;TargetAnchor8
2;104.8304;1.731476;0;3.725826;8.308897;0.7332171;58.56514;21.97229;11.27922;1;TargetAnchor7
3;111.7597;1.389374;1;2.654681;11.19567;0.1731776;1.790431;14.22701;3.106857;0;TargetAnchor1
3;116.0646;1.185684;1;3.202204;11.38543;0.2162802;0.8559743;12.09394;2.282043;0;TargetAnchor2
3;119.2244;1.13224;1;2.208237;9.767058;0.1555588;1.251592;11.53061;2.477352;0;TargetAnchor3
3;123.3;1.884872;1;2.105351;8.234562;0.1710972;1.714059;19.68678;5.465902;0;TargetAnchor4
3;127.9439;2.091255;1;3.419033;11.26727;0.3244754;2.246797;24.88276;11.10388;0;TargetAnchor5
3;133.35;1.867264;1;1.805643;6.193593;0.3621767;0.7353997;22.73965;11.13465;0;TargetAnchor6
3;138.3905;2.053375;1;2.88188;10.56484;0.4703237;0.8606894;22.91354;8.324982;0;TargetAnchor7
4;153.9548;1.067444;1;4.039809;8.393601;0.4201963;1.739218;11.55111;4.285624;0;TargetAnchor1
4;157.8319;1.016754;1;2.351542;8.284609;0.2405465;2.225395;11.06994;4.563687;0;TargetAnchor2
4;161.5688;1.569489;1;2.217478;9.283793;0.2559608;1.244664;16.71983;5.051589;0;TargetAnchor3
4;165.7124;1.95752;1;2.564367;9.623244;0.236995;0.8941091;21.05163;7.051047;0;TargetAnchor4
4;171.2607;1.587555;1;2.570015;9.954589;0.1630309;0.5638911;16.00678;2.50251;0;TargetAnchor5
4;175.2298;1.907455;1;3.246325;13.66719;0.138906;1.468242;19.4772;3.459293;0;TargetAnchor6
4;179.3193;1.594879;0.9923167;2.370349;8.106924;0.4591076;9.745082;19.88223;9.96886;1;TargetAnchor7
5;187.0341;1.371689;1;2.261032;10.20556;0.2097993;1.445879;13.95759;3.473882;0;TargetAnchor1
5;190.9926;1.285736;1;2.391565;10.24921;0.2211519;1.984501;13.76714;4.38887;0;TargetAnchor2
5;194.4287;1.345428;1;2.802169;11.45896;0.1941933;1.03535;14.67237;4.221878;0;TargetAnchor3
5;198.3083;0.3061371;1;1.045495;1.879432;0.5644483;16.57106;6.119106;5.286622;1;TargetAnchor4
6;205.1375;1.373947;1;1.792091;7.412399;0.2605834;1.639051;15.47324;6.424195;0;TargetAnchor1
6;208.9908;1.381653;1;2.115124;7.059715;0.3818383;1.827312;16.17866;8.005387;0;TargetAnchor2
6;213.7185;1.68222;1;2.007883;6.383718;0.3803916;2.869064;24.53348;17.21019;0;TargetAnchor3
