AttemptID;LapID;LapDuration_s;AttemptDuration_s;LapProgress_0_1;DeathOccurred;MeanDeviation_m;SpeedSD_mps;MicroCorrectionsRate_per_s;ObstacleHitRate
8;1;7.054;54.338;0.356;1;12.5833;5.5273;3.9696;0.077
9;1;21.557;35.443;0.776;1;8.5717;5.2800;6.4016;0.154
10;1;14.859;28.542;0.530;1;8.2021;3.3623;3.4323;0.077
11;1;25.720;36.701;1.000;0;7.4849;4.5442;4.6268;0.000
11;2;14.872;65.553;0.536;1;12.3001;2.9113;2.3534;0.077
12;1;25.920;38.608;1.000;0;6.9171;4.4595;4.3596;0.154
12;2;24.820;77.888;1.000;0;7.6887;4.3218;4.0693;0.000
12;3;21.800;113.248;0.698;1;8.3783;3.8009;4.2660;0.154
13;1;27.285;49.365;0.449;1;32.2194;5.5877;0.5131;0.077
14;1;25.134;34.329;0.828;1;10.3564;5.5185;3.5808;0.462
